key,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure
Panama,78.329,6.1,7.7,13.1,148.159,76.653,25.8,13.0,,3.0741,1.5687,1112.3032230000001,370.06402599999996
Peru,76.516,4.8,6.6,11.1,146.37,84.815,63.9,12.6,,2.4398,1.3048,332.570923,93.745949
Papua New Guinea,64.263,36.3,17.9,38.0,251.144,187.7,152.0,30.0,,0.4548,0.0699,61.457840000000004,5.530311
Philippines,71.095,24.3,7.1,22.5,235.071,130.91,185.2,26.8,,4.9351,0.6004,132.90098600000002,70.49835999999999
Pakistan,67.11399999999999,20.1,19.9,57.2,172.896,137.509,173.6,24.7,,0.6683,0.9801,44.592964,26.861408
Poland,77.7,28.0,6.1,3.8,160.653,61.842,37.9,18.7,,6.8926,2.3788,906.820129,209.020157
Puerto Rico,79.778195,,13.7,,146.208,63.033,,,,,,,
Palestine,73.895,,9.5,17.3,126.51299999999999,92.30799999999999,,,,,,,
Portugal,81.5,22.7,9.8,3.1,103.994,42.442,9.8,11.1,,6.9746,5.124,1908.033936,525.321472
Paraguay,74.131,13.4,9.6,17.2,163.97799999999998,120.525,57.5,17.5,,1.6604,1.3544,381.113068,168.361481
Qatar,80.1,20.6,15.6,5.8,41.498000000000005,31.873,47.4,15.3,,7.2628,2.4852,1649.186157,146.821411
Romania,75.3,29.7,6.9,6.1,171.82,73.319,59.3,21.4,,7.3891,2.9807,555.104736,113.73011000000001
Serbia,75.9,38.9,9.0,4.8,141.791,74.794,62.5,19.1,,6.0855,3.1131,528.545166,220.680069
Russia,72.657317,39.3,6.1,6.1,,,49.4,25.4,,8.5429,4.0139,585.87323,237.23812900000001
Rwanda,68.7,12.3,5.1,27.0,216.342,161.59,121.4,18.2,,1.2044,0.134,49.204456,3.074294
Saudi Arabia,74.998,15.6,15.8,6.0,91.87200000000001,76.148,83.7,16.4,,5.4763,2.6117,1093.405518,184.345856
Solomon Islands,72.835,,19.0,17.1,162.895,124.818,137.0,23.8,,2.1642,0.1937,101.239868,5.466105000000001
Seychelles,72.841463,21.5,12.3,12.4,201.609,97.723,49.3,21.2,,8.0773,2.1212,791.656677,194.742996
Sudan,65.095,,22.1,42.1,244.878,187.141,184.9,26.0,,0.6952,0.2618,193.793045,140.460556
Sweden,82.6,18.8,4.8,2.2,62.062,38.431,7.2,9.1,,11.8164,3.984,5904.583984000001,887.612732
Singapore,83.146341,16.5,5.5,2.3,59.839,34.939,25.9,9.3,2.4,6.2432,2.2936,2618.712402,841.2677
Slovenia,81.5,22.5,5.9,1.7,90.934,45.488,22.6,12.7,,9.9745,3.0861,1920.28186,236.73556499999998
Slovak Republic,77.4,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.1363529999999,221.96388199999998
