iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
OWID_WRL,,World,2020-02-18,73331.0,1995.0,4317.429,1873.0,98.0,122.14299999999999,9.408,0.256,0.5539999999999999,0.24,0.013000000000000001,0.016,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
OWID_WRL,,World,2020-02-19,75195.0,1864.0,4287.714,2012.0,139.0,128.143,9.647,0.239,0.55,0.258,0.018000000000000002,0.016,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
OWID_WRL,,World,2020-02-20,75727.0,532.0,2199.286,2128.0,116.0,108.286,9.715,0.068,0.282,0.273,0.015,0.013999999999999999,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
OWID_WRL,,World,2020-02-21,76723.0,996.0,1739.4289999999999,2247.0,119.0,123.429,9.843,0.128,0.223,0.28800000000000003,0.015,0.016,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
OWID_WRL,,World,2020-02-22,77808.0,1085.0,1528.714,2359.0,112.0,118.85700000000001,9.982000000000001,0.139,0.196,0.303,0.013999999999999999,0.015,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
OWID_WRL,,World,2020-02-23,78818.0,1010.0,1364.1429999999998,2463.0,104.0,113.429,10.112,0.13,0.175,0.316,0.013000000000000001,0.015,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
OWID_WRL,,World,2020-02-24,79341.0,523.0,1143.5710000000001,2619.0,156.0,120.571,10.179,0.067,0.147,0.336,0.02,0.015,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
OWID_WRL,,World,2020-02-25,80136.0,795.0,972.143,2698.0,79.0,117.85700000000001,10.280999999999999,0.102,0.125,0.34600000000000003,0.01,0.015,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
OWID_WRL,,World,2020-02-26,81003.0,867.0,829.7139999999999,2762.0,64.0,107.14299999999999,10.392000000000001,0.111,0.106,0.354,0.008,0.013999999999999999,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
OWID_WRL,,World,2020-02-27,82117.0,1114.0,912.857,2800.0,38.0,96.0,10.535,0.14300000000000002,0.11699999999999999,0.359,0.005,0.012,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
